"Dhin" "Dain" "Bwin" "Erosion" "deltacrest"
"364" 3.442 56.736 37.000 3.442 0.000
"365" 4.342 55.884 37.000 2.171 0.000
"366" 4.742 63.935 37.000 2.371 0.000
"367" 5.142 75.036 37.000 0.000 0.000
"368" 5.642 89.445 37.000 0.000 0.000
"369" 6.142 105.104 37.000 0.000 0.000
"370" 2.542 15.429 37.000 8.168 1.220
"371" 2.842 20.023 37.000 4.835 0.670
"372" 3.142 23.616 37.000 5.134 0.670
"373" 3.442 29.2 37.000 4.316 0.440
"374" 3.742 33.483 37.000 6.861 0.610
"375" 3.742 63.419 37.000 3.742 0.000
"376" 4.042 40.056 37.000 3.349 0.330
"377" 4.342 47.2 37.000 1.741 0.100
"378" 4.742 54.451 37.000 3.865 0.330
"379" 5.142 64.752 37.000 0.000 0.000
"380" 5.642 78.161 37.000 0.000 0.000
"381" 6.142 92.82 37.000 0.000 0.000
"382" 4.042 72.392 37.000 2.021 0.000
"383" 4.342 81.936 37.000 2.171 0.000
"384" 4.742 92.387 37.000 2.371 0.000
"385" 5.142 105.888 37.000 0.000 0.000
"386" 2.542 38.307 37.000 3.813 0.000
"387" 5.642 140.223 37.000 0.000 0.000
"388" 6.142 160.382 37.000 0.000 0.000
"389" 2.542 33.223 37.000 3.813 0.000
"390" 2.842 39.917 37.000 2.842 0.000
"391" 3.142 47.181 37.000 1.571 0.000
"392" 3.442 55.015 37.000 1.721 0.000
"393" 3.742 63.419 37.000 0.000 0.000
"394" 4.042 72.392 37.000 0.000 0.000
"395" 4.342 81.936 37.000 0.000 0.000
"396" 4.742 94.758 37.000 0.000 0.000
"397" 2.842 45.601 37.000 2.842 0.000
"398" 5.142 108.459 37.000 0.000 0.000
"399" 5.642 128.939 37.000 0.000 0.000
"400" 6.142 148.098 37.000 0.000 0.000
"401" 2.542 28.139 37.000 3.813 0.000
"402" 2.842 34.233 37.000 2.842 0.000
"403" 3.142 40.897 37.000 1.571 0.000
"404" 3.442 48.131 37.000 1.721 0.000
"405" 3.742 55.935 37.000 0.000 0.000
"406" 4.042 64.308 37.000 0.000 0.000
"407" 4.342 73.252 37.000 0.000 0.000
"408" 3.142 53.465 37.000 1.571 0.000
"409" 4.742 85.274 37.000 0.000 0.000
"410" 5.142 98.175 37.000 0.000 0.000
"411" 5.642 117.655 37.000 0.000 0.000
"412" 6.142 135.814 37.000 0.000 0.000
"413" 2.542 23.055 37.000 6.063 0.300
"414" 2.842 28.549 37.000 2.842 0.000
"415" 3.142 34.613 37.000 1.571 0.000
"416" 3.442 41.247 37.000 1.721 0.000
"417" 3.742 48.451 37.000 0.000 0.000
"418" 4.042 56.224 37.000 0.000 0.000
"419" 3.442 61.899 37.000 1.721 0.000
"420" 4.342 64.568 37.000 0.000 0.000
"421" 4.742 75.79 37.000 0.000 0.000
"422" 5.142 87.891 37.000 0.000 0.000
"423" 5.642 106.371 37.000 0.000 0.000
"424" 6.142 123.53 37.000 0.000 0.000
"425" 2.542 17.971 37.000 7.667 0.950
"426" 2.842 22.865 37.000 4.018 0.440
"427" 3.142 28.329 37.000 3.067 0.330
"428" 3.442 34.363 37.000 0.071 0.000
"429" 3.742 40.967 37.000 0.000 0.000
"430" 3.742 70.903 37.000 0.000 0.000
"431" 4.042 48.14 37.000 0.000 0.000
"432" 4.342 55.884 37.000 0.000 0.000
"433" 4.742 66.306 37.000 0.000 0.000
"434" 5.142 77.607 37.000 0.000 0.000
"435" 5.642 95.087 37.000 0.000 0.000
"436" 6.142 111.246 37.000 0.000 0.000
"437" 4.042 80.476 37.000 0.000 0.000
"438" 4.342 90.62 37.000 0.000 0.000
"439" 4.742 104.242 37.000 0.000 0.000
"440" 5.142 118.743 37.000 0.000 0.000
"441" 2.542 42.12 37.000 1.271 0.000
"442" 5.642 154.328 37.000 0.000 0.000
"443" 6.142 178.808 37.000 0.000 0.000
"444" 2.542 37.036 37.000 1.271 0.000
"445" 2.842 44.18 37.000 0.000 0.000
"446" 3.142 51.894 37.000 0.000 0.000
"447" 3.442 60.178 37.000 0.000 0.000
"448" 3.742 70.903 37.000 0.000 0.000
"449" 4.042 80.476 37.000 0.000 0.000
"450" 4.342 90.62 37.000 0.000 0.000
"451" 4.742 106.613 37.000 0.000 0.000
"452" 2.842 49.864 37.000 0.000 0.000
"453" 5.142 121.314 37.000 0.000 0.000
"454" 5.642 143.044 37.000 0.000 0.000
"455" 6.142 166.524 37.000 0.000 0.000
"456" 2.542 31.952 37.000 1.271 0.000
"457" 2.842 38.496 37.000 0.000 0.000
"458" 3.142 45.61 37.000 0.000 0.000
"459" 3.442 53.294 37.000 0.000 0.000
"460" 3.742 63.419 37.000 0.000 0.000
"461" 4.042 72.392 37.000 0.000 0.000
"462" 4.342 81.936 37.000 0.000 0.000
"463" 3.142 58.178 37.000 0.000 0.000
"464" 4.742 97.129 37.000 0.000 0.000
"465" 5.142 111.03 37.000 0.000 0.000
"466" 5.642 131.76 37.000 0.000 0.000
"467" 6.142 154.24 37.000 0.000 0.000
"468" 2.542 26.868 37.000 1.271 0.000
"469" 2.842 32.812 37.000 0.000 0.000
"470" 3.142 39.326 37.000 0.000 0.000
"471" 3.442 46.41 37.000 0.000 0.000
"472" 3.742 55.935 37.000 0.000 0.000
"473" 4.042 64.308 37.000 0.000 0.000
"474" 3.442 67.062 37.000 0.000 0.000
"475" 4.342 73.252 37.000 0.000 0.000
"476" 4.742 87.645 37.000 0.000 0.000
"477" 5.142 100.746 37.000 0.000 0.000
"478" 5.642 120.476 37.000 0.000 0.000
"479" 6.142 141.956 37.000 0.000 0.000
"480" 2.542 21.784 37.000 1.932 0.160
"481" 2.842 27.128 37.000 0.000 0.000
"482" 3.142 33.042 37.000 0.000 0.000
"483" 3.442 39.526 37.000 0.000 0.000
"484" 3.742 48.451 37.000 0.000 0.000
"485" 3.742 78.387 37.000 0.000 0.000
"486" 4.042 56.224 37.000 0.000 0.000
"487" 4.342 64.568 37.000 0.000 0.000
"488" 4.742 78.161 37.000 0.000 0.000
"489" 5.142 90.462 37.000 0.000 0.000
"490" 5.642 109.192 37.000 0.000 0.000
"491" 6.142 129.672 37.000 0.000 0.000
"492" 4.042 88.56 37.000 0.000 0.000
"493" 4.342 99.304 37.000 0.000 0.000
"494" 4.742 116.097 37.000 0.000 0.000
"495" 5.142 131.598 37.000 0.000 0.000
"496" 2.542 44.662 37.000 0.000 0.000
"497" 5.642 171.254 37.000 0.000 0.000
"498" 6.142 197.234 37.000 0.000 0.000
"499" 2.542 39.578 37.000 0.000 0.000
"500" 2.842 48.443 37.000 0.000 0.000
"501" 3.142 56.607 37.000 0.000 0.000
"502" 3.442 67.062 37.000 0.000 0.000
"503" 3.742 76.516 37.000 0.000 0.000
"504" 4.042 88.56 37.000 0.000 0.000
"505" 4.342 99.304 37.000 0.000 0.000
"506" 4.742 116.097 37.000 0.000 0.000
"507" 2.842 54.127 37.000 0.000 0.000
"508" 5.142 134.169 37.000 0.000 0.000
"509" 5.642 159.97 37.000 0.000 0.000
"510" 6.142 184.95 37.000 0.000 0.000
"511" 2.542 34.494 37.000 0.000 0.000
"512" 2.842 42.759 37.000 0.000 0.000
"513" 3.142 50.323 37.000 0.000 0.000
"514" 3.442 60.178 37.000 0.000 0.000
"515" 3.742 69.032 37.000 0.000 0.000
"516" 4.042 80.476 37.000 0.000 0.000
"517" 4.342 90.62 37.000 0.000 0.000
"518" 3.142 62.891 37.000 0.000 0.000
"519" 4.742 106.613 37.000 0.000 0.000
"520" 5.142 123.885 37.000 0.000 0.000
"521" 5.642 148.686 37.000 0.000 0.000
"522" 6.142 172.666 37.000 0.000 0.000
"523" 2.542 29.41 37.000 0.000 0.000
"524" 2.842 37.075 37.000 0.000 0.000
"525" 3.142 44.039 37.000 0.000 0.000
"526" 3.442 53.294 37.000 0.000 0.000
"527" 3.742 61.548 37.000 0.000 0.000
"528" 4.042 72.392 37.000 0.000 0.000
"529" 3.442 73.946 37.000 0.000 0.000
"530" 4.342 81.936 37.000 0.000 0.000
"531" 4.742 97.129 37.000 0.000 0.000
"532" 5.142 113.601 37.000 0.000 0.000
"533" 5.642 137.402 37.000 0.000 0.000
"534" 6.142 160.382 37.000 0.000 0.000
"535" 2.542 24.326 37.000 0.000 0.000
"536" 2.842 31.391 37.000 0.000 0.000
"537" 3.142 37.755 37.000 0.000 0.000
"538" 3.442 46.41 37.000 0.000 0.000
"539" 3.742 54.064 37.000 0.000 0.000
"540" 3.742 84 37.000 0.000 0.000
"541" 4.042 64.308 37.000 0.000 0.000
"542" 4.342 73.252 37.000 0.000 0.000
"543" 4.742 87.645 37.000 0.000 0.000
"544" 5.142 103.317 37.000 0.000 0.000
"545" 5.642 126.118 37.000 0.000 0.000
"546" 6.142 148.098 37.000 0.000 0.000
"547" 4.042 96.644 37.000 0.000 0.000
"548" 4.342 107.988 37.000 0.000 0.000
"549" 4.742 125.581 37.000 0.000 0.000
"550" 5.142 144.453 37.000 0.000 0.000
"551" 2.553 32.119 41.000 6.383 0.000
"552" 5.653 109.487 41.000 5.653 0.000
"553" 6.153 123.842 41.000 6.153 0.000
"554" 2.553 27.012 41.000 6.383 0.000
"555" 2.853 32.972 41.000 5.707 0.000
"556" 3.153 37.925 41.000 6.307 0.000
"557" 3.453 43.148 41.000 6.907 0.000
"558" 3.753 50.518 41.000 5.630 0.000
"559" 4.053 56.431 41.000 6.080 0.000
"560" 4.353 62.614 41.000 6.530 0.000
"561" 4.753 73.654 41.000 4.753 0.000
"562" 2.853 38.679 41.000 5.707 0.000
"563" 5.153 82.998 41.000 7.730 0.000
"564" 5.653 98.18 41.000 5.653 0.000
"565" 6.153 111.535 41.000 6.153 0.000
"566" 2.553 21.906 41.000 7.380 0.330
"567" 2.853 27.265 41.000 5.707 0.000
"568" 3.153 31.618 41.000 6.307 0.000
"569" 3.453 36.241 41.000 6.907 0.000
"570" 3.753 43.011 41.000 5.630 0.000
"571" 4.053 48.324 41.000 6.080 0.000
"572" 4.353 53.907 41.000 6.530 0.000
"573" 3.153 44.232 41.000 6.307 0.000
"574" 4.753 64.148 41.000 4.753 0.000
"575" 5.153 72.692 41.000 7.730 0.000
